address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
12923 Ilderton Dr,Houston,2.5,4,Humble,"Beautiful New 2 story home with 4 full bedrooms and 2.5 bath rooms.Open family room. Kitchen has 42 inch cabinets, granite counter tops, under mount sink, stainless steel appliances. Master bath has dual sinks, and separate tub and shower. a 750-acre planned community offering a crystal-clear lagoon surrounded by white sand beaches, hammocks & cabanas, an infinity pool, splash pad, sand volleyball, lakes, parks, walking trails and so much more!",2,218855,Single Family Home,1611,TX,,,,,,2020,77346
2002 Saxon Dr,Houston,1,3,Houston,"BUILD YOUR DREAM HOME! GREAT CORNER LOT - PRIME OAK FOREST LOCATION! Walking Distance to Elementary & Middle Schools! Surrounded by Beautiful New Homes! Soaring Mature Trees! Perfect Location for Commuters - Easy Access to the 610 Loop, Hwy 290, & Downtown Houston! Interior Has Been Taken Down to the Studs - Tear Down & Build New - Or Ready for Your Remodel! INCREDIBLE OPPORTUNITY - DON'T MISS!",2,340000,Single Family Home,1250,TX,5514,7456,7450,7462,8130,1953,77018
9412 Kerrwood Ln,Houston,2.5,3,Houston,"This community will consist of 32 homes with two perfect floor plans to fit your lifestyle. The first 8 homes are part of Phase I and the following 6 homes are part of Phase II. First Floorplan has 1st Floor Living and the Second Floorplan has 2nd Floor Living. These homes feature natural light through over sized windows, high ceilings and side yards perfect for your outdoor grill. Large master suite has a walk in closet, double vanity, separate shower and soaking tub. The open kitchen has a large island, quartz counter tops, cabinetry with plenty of storage space and stainless steel appliances. Easy access to CityCentre, Heights and Galleria. Low HOA & tax rate. Phase I Under Construction to be complete JULY 2020. Phase II Under Construction to be complete OCTOBER 2020. Phase III Under Construction to be complete FEBRUARY 2021. MODEL HOME IS 9434 KERRWOOD.",2,255000,Condo/Townhome/Row Home/Co-Op,1503,TX,,,,,,2020,77080
7518 Troulon Dr,Houston,2,3,Houston,"Nicely Renovated 3.5 years ago, driveway, garage door, roof, HVAC 3 returns HEPA filter, new CPVC plumbing & high flow water filter, water and waste lines. double pane vinyl windows low E, doors, led lights with dimmers, custom crown molding through out, custom maple cabinets slow close with pull out drawers in base cabinets, under counter led remote lights and custom granite countertops, remote stainless vent hood, ceiling fans w/remote & lots lots more. A MUST TO SEE",2,305000,Single Family Home,1806,TX,2893,3174,3692,5785,5774,1972,77074
1806 Potomac Dr Apt D,Houston,2.5,3,Houston,Charming REMODELED patio home with small splash cascade fountain. Social area and Study on the ground floor and all bedrooms and den on the second floor. Zoned to BRIARGROVE ELEMENTARY,2,569900,Single Family Home,3251,TX,11141,13077,13066,13087,12142,1983,77057
8715 Meadowcroft Dr Unit 1803,Houston,2,2,Houston,"Spacious Tri-Level 2/2/2 Townhome Located in Gated Community. This Property Features Hardwood Flooring in Main Areas & Tile Flooring in Entry and Bath Areas. Berber Carpet in Bedrooms. Spacious Living/Dining Combo with Plenty of Natural Lighting. Kitchen Comes with Stainless Steel Appliances. Main Area on 2nd Floor & Bedrooms on 3rd Floor. Primary Comes with Huge Walk-In closet with Storage Compartments & Built In Dresser! Little lawn to worry about. Close to the Galleria & Super Close to Westpark & Beltway 8 for Commuters! Come see today, you don't want to miss out on this property!",2,208000,Condo/Townhome/Row Home/Co-Op,1492,TX,5019,5383,5543,5552,5290,2013,77063
1409 Vassar St,Houston,3,3,Houston,"Fabulous Boulevard Oaks Charmer located on the sought after esplanade block of Vassar Street. Spacious Living Room with vaulted ceiling and gas-log fire place. Light filled formal Dining Room features beautiful hardwood floors, designer lighting and custom window coverings. Updated Kitchen is open to an inviting Den with backyard access. Backyard was updated in 2020 to a low maintenance oasis complete with fountain and Pergola. Primary Bedroom has tall, vaulted ceiling with an abundance of natural light and private balcony access. Primary Bedroom also features a walk-in closet and updated bathroom. The detached Garage Apartment is an entertainer's dream - 3 flat screen televisions and enough space for many to gather! Ideally located just minutes from the Medical Center, Houston's Museum District & many popular restaurants and shops!",2,1100000,Single Family Home,3049,TX,21482,23569,25263,25304,24940,1937,77006
9350 Country Creek Dr Apt 12,Houston,1,1,Houston,"Stop using your hard earned money to pay rent and own this cozy 1 bed/ 1 bath corner unit, which is conveniently located on the 1st floor. Large Living Room, Cozy Kitchen, Quaint Breakfast Area, Large Bedroom with Walk in Closet. There is a porch area with storage, right off the breakfast area. ALL FURNITURE and APPLIANCES are NEGOTIABLE with the Purchase. Please see our virtual tour to walk the property and schedule an appointment. Showings will only be held by appointment on Wednesday's 5-6 p.m. and Saturday's 12-1 p.m.",,45000,Condo/Townhome/Row Home/Co-Op,710,TX,745,748,926,970,1019,1979,77036
10602 Overbrook Ln,Houston,2,3,Houston,"Beautifully updated 3/2 with study, large utility room, and huge garage addition in the desirable neighborhood of Walnut Bend. This home boasts hardwoods throughout living areas and bedrooms. The Kitchen has granite countertops, a gas range, and stainless steel appliances. The Den showcases vaulted ceilings with views to the amazing back yard with a large deck perfect for outdoor living! Home office, large laundry room addition, and additional garage space are unique features not typically seen in the area. Updated master bath, large formals, and well-sized bedrooms make this house a must-see! The home is conveniently located near City Centre, Town & Country, and quick access to I-10 & Beltway 8! Per Seller, the home was high and dry from Harvey!",4,325000,Single Family Home,1926,TX,6643,7288,8539,8553,9003,1964,77042
4516 Dickson St,Houston,2.5,3,Houston,"Picture perfect Rice Military / Heights town home on an wide street w/ lots of extra parking! You simply won't find another home w/ a side yard/patio as large and wonderful - ideal for play space, pets or simply outdoor entertaining! Coveted two story floorplan boasts tall ceilings an open flowing design featuring a Study, massive Great Room w/ fireplace, grand Entry and abundant natural light galore! Taken to the studs & remodeled, the gourmet Kitchen boasts all new ceiling height cabinets, quartz counters, stainless appliances & adjoining Dining Area w/ wetbar, wine chiller, pantry/storage closet - WOW! 2nd floor offers 3 spacious bedrooms, terrific storage & a wonderful private covered porch! Master Suite boasts a giant walk-in closet & spa like bath w/ 2 sinks, large walk-in shower! Outstanding location overlooking serene Buffalo Bayou Park & Uber convenient to Memorial Park, Downtown, the Galleria Area and all the amazing eateries, shops, and entertainment in/around the Heights!",2,460000,Condo/Townhome/Row Home/Co-Op,2373,TX,6358,6976,7667,6813,7700,1980,77007
9026 Fairbloom Ln,Houston,2.5,4,Houston,"Unique 4 bedroom / 2 1/2 bath in highly desired Rolling Fork subdivision. Close to Beltway 8, Hwy 290, Hwy 99 and Hwy 249. Recently updated with new paint, carpet, LED Lights, Ceiling Fans and Slate patio in front and back and Rain Bird sprinkler system. Primary Suite features large custom walk in shower with bench, 2 walk in closets and sliding door leading to 2nd story 9x9 deck overlooking the green space in back of house. Large Chef kitchen with lots of counter-space and brick accent wall surrounding the Decor gas cooktop next to wall oven and microwave. French door from living room leads to oversized back yard with covered Gazebo and patio areas great for family or entertaining. This is a perfect home for your family to grow into.",2,295900,Single Family Home,2312,TX,3875,4247,4125,4125,4689,1988,77040
2434 Langston St,Houston,3.5,3,Houston,"Contemporary 3 story home in Langston Court! Prime location with private street access, and walking distance to bars and restaurants! Gated entry leads you to this open concept plan with soaring ceilings, recent interior and exterior paint, stunning hardwood and tile flooring, crown moulding and abundant windows provide natural light throughout. Guest bedroom and private study on the 1st floor. Main living on the 2nd floor features an island kitchen with walk-in pantry, granite counters, wine chiller and stainless steel appliances that opens to the breakfast room and den with surround sound, built-in bar with ambient lighting and doors leading to the balcony; 3rd floor has an additional guest bedroom and master retreat with luxurious bath and his & hers closets; two car attached garage with epoxy floor and built-in cabinet storage; fenced yard with synthetic pet friendly turf and covered patio.",2,445000,Single Family Home,2622,TX,11860,10746,10164,10180,9928,2014,77007
14218 Merganser Dr,Houston,2,3,Houston,"Never flooded! Beautiful DR Horton home located in the desirable subdivision of Brunswick Lakes. A great place to entertain and raise a family. Large imported tile throughout the front foyer, kitchen, breakfast, & family rooms. New engineered wood floors in all the bedrooms. Pewter hardware in the kitchen as well as in the bathrooms. Modern lighting to match. High ceilings with new ceiling fans & painted w popular colors. Manicured lawn with new trees in the backyard. Great covered porch for relaxing outside! See Improvements List. Very close to 288 and just minutes to Houston, Med Ctr, Museum District, Midtown, Downtown, Montrose, etc. New shopping center just South of the subdivision. Childrens playgrounds as well as great Pearland schools! Extra high kitchen cabinets, French doors in the study, open room concept, black appliances. Washer, dryer, refrigerator stay w/the home.",2,217000,Single Family Home,1748,TX,4420,4741,4954,4840,5031,2008,77047
8626 Allwood St,Houston,2,3,Houston,"Custom home just built with large fence, custom cabinets with granite counter tops, high ceilings, walk in sunken shower, recessed lighting, and ceramic floor everywhere except bedrooms",2,205000,Single Family Home,1769,TX,,,,,,2020,77016
